"filename", "language", "C++", "JSON", "Django txt", "comment", "blank", "total"
"f:\Development\repos\SG2\.vs\ProjectSettings.json", "JSON", 0, 3, 0, 0, 0, 3
"f:\Development\repos\SG2\.vs\VSWorkspaceState.json", "JSON", 0, 7, 0, 0, 0, 7
"f:\Development\repos\SG2\CppProperties.json", "JSON", 0, 21, 0, 0, 0, 21
"f:\Development\repos\SG2\TODO.txt", "Django txt", 0, 0, 20, 0, 7, 27
"f:\Development\repos\SG2\main.cpp", "C++", 53, 0, 0, 7, 15, 75
"f:\Development\repos\SG2\src\Algo\AStar.hpp", "C++", 152, 0, 0, 19, 13, 184
"f:\Development\repos\SG2\src\Crew\BaseCrew.hpp", "C++", 119, 0, 0, 7, 25, 151
"f:\Development\repos\SG2\src\Generator\Layout.hpp", "C++", 275, 0, 0, 40, 50, 365
"f:\Development\repos\SG2\src\Manager\Event.hpp", "C++", 177, 0, 0, 30, 23, 230
"f:\Development\repos\SG2\src\Manager\Object.hpp", "C++", 169, 0, 0, 6, 22, 197
"f:\Development\repos\SG2\src\Manager\Resource.hpp", "C++", 31, 0, 0, 0, 6, 37
"f:\Development\repos\SG2\src\Manager\Screen.hpp", "C++", 150, 0, 0, 6, 20, 176
"f:\Development\repos\SG2\src\Node\Base\VisibleNode.hpp", "C++", 71, 0, 0, 1, 4, 76
"f:\Development\repos\SG2\src\Node\Door.hpp", "C++", 39, 0, 0, 0, 4, 43
"f:\Development\repos\SG2\src\Node\Floor.hpp", "C++", 21, 0, 0, 0, 3, 24
"f:\Development\repos\SG2\src\Node\Space.hpp", "C++", 21, 0, 0, 0, 4, 25
"f:\Development\repos\SG2\src\Node\Wall.hpp", "C++", 16, 0, 0, 0, 3, 19
"f:\Development\repos\SG2\src\Object\Console.hpp", "C++", 0, 0, 0, 0, 1, 1
"f:\Development\repos\SG2\src\Object\Draggable.hpp", "C++", 10, 0, 0, 0, 5, 15
"f:\Development\repos\SG2\src\Primitive\Active.hpp", "C++", 29, 0, 0, 2, 6, 37
"f:\Development\repos\SG2\src\Primitive\Active\Draggable.hpp", "C++", 22, 0, 0, 0, 5, 27
"f:\Development\repos\SG2\src\Primitive\Animation.hpp", "C++", 33, 0, 0, 0, 10, 43
"f:\Development\repos\SG2\src\Primitive\Generator.hpp", "C++", 17, 0, 0, 0, 7, 24
"f:\Development\repos\SG2\src\Primitive\Node.hpp", "C++", 90, 0, 0, 0, 14, 104
"f:\Development\repos\SG2\src\Primitive\Variable.hpp", "C++", 19, 0, 0, 1, 6, 26
"f:\Development\repos\SG2\src\Primitive\Visible.hpp", "C++", 37, 0, 0, 1, 10, 48
"f:\Development\repos\SG2\src\Primitive\Visible\Reactive.hpp", "C++", 26, 0, 0, 1, 5, 32
"f:\Development\repos\SG2\src\Ship\BaseShip.hpp", "C++", 75, 0, 0, 2, 10, 87
"f:\Development\repos\SG2\src\Ship\Layout.hpp", "C++", 87, 0, 0, 3, 9, 99
"f:\Development\repos\SG2\src\Tool\Debug.hpp", "C++", 13, 0, 0, 0, 4, 17
"f:\Development\repos\SG2\src\Tool\TextureSheet.hpp", "C++", 82, 0, 0, 1, 14, 97
"f:\Development\repos\SG2\src\Window\BaseWindow.hpp", "C++", 429, 0, 0, 59, 38, 526
"f:\Development\repos\SG2\src\Window\Button.hpp", "C++", 73, 0, 0, 1, 7, 81
"f:\Development\repos\SG2\src\Window\Button\IconButton.hpp", "C++", 24, 0, 0, 0, 7, 31
"f:\Development\repos\SG2\src\Window\Button\TextButton.hpp", "C++", 57, 0, 0, 1, 8, 66
"Total", "-", 2417, 31, 20, 188, 365, 3021
